title,description,country,type,nodays,price,imgname
Women's Special Sri Lanka,Pinnawala Elephant Orphanage Temple of the Tooth Relic Kandy Lake Peradeniya Botanical Gardens Traditional Sri Lankan Dance show Anjaneyar (Hanuman) temple Seetha Amman Temple Hakgala Botanical Gardens (Ashok Vatika) Bentota River Safari Dutch Fort Unawatuna Beach Kelaniya Temple,Sri Lanka,GROUP TOUR,7,"?92,000.00",https://img.veenaworld.com/group-tours/world/sri-lanka/aswu/aswu-thb-aswu-1662023.jpg
Highlights of Vietnam,One Pillar Pagoda Temple of Literature Halong Bay Cruise Excursion Musical Water Puppet Show Hoi An Sun World Ba Na Hills Golden Bridge,Vietnam,GROUP TOUR,5,"?94,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aspv/aswy-thb-aspv-22112023.jpg
Best of Sri Lanka,NA,Sri Lanka,GROUP TOUR,7,"?94,000.00",https://img.veenaworld.com/group-tours/world/sri-lanka/asse/aswl-thb-ASSE-22102021.jpg
Women's Special Dubai Abu Dhabi,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,UAE,GROUP TOUR,5,"?100,000.00",https://img.veenaworld.com/group-tours/world/dubai-egypt-israel/mewe/mewe-thb-mewe-2962024.jpg
Highlights of Dubai Abu Dhabi,Burj Khalifa Dubai Mall Dhow Dinner Cruise Water Taxi ride to Gold Souk Desert Safari Sheikh Zayed Grand Mosque Ferrari World Sea World Abu Dhabi BAPS Hindu Temple,UAE,GROUP TOUR,5,"?100,000.00",https://img.veenaworld.com/group-tours/world/dubai-egypt-israel/mede/mede-thb-mede-2962024.jpg
Seniors' Special Dubai Abu Dhabi,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,UAE,GROUP TOUR,5,"?100,000.00",https://img.veenaworld.com/group-tours/world/dubai-egypt-israel/meze/meze-thb-meze-2962024.jpg
Wonders of Bhutan,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Bhutan,GROUP TOUR,12,"?101,000.00",https://img.veenaworld.com/group-tours/world/bhutan/btbw/shbt2-thb-btbw-1062024.jpg
Best of Singapore,NA,Singapore,GROUP TOUR,4,"?105,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/assg/asgs-thb-assg-482022.jpg
Bangkok Pattaya Phuket Krabi,NA,Thailand,GROUP TOUR,8,"?116,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/astk/astk-thb.jpg
Honeymoon Special Bangkok Pattaya Phuket Krabi,Krabi Island Hopping Tour Ao Phang Nga National Park Needle Rock Trickeye Museum FantaSea Show Alcazar Show Coral Island - parasailing Speed boat ride & Glass Bottom Boat Nong Nooch village Scientific Thai massage Pattaya Tower - Speed Shuttle/ Sky Shuttle/ Tower Jump Gems Gallery Safari World Chao Phraya River Dinner Cruise,Thailand,GROUP TOUR,8,"?116,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/ashy/shth15-thb-ashy-23102023.jpg
Seniors' Special Bali,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Indonesia,GROUP TOUR,7,"?125,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aszi/aszi-thb.jpg
Best of Bali,NA,Indonesia,GROUP TOUR,7,"?125,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/asbm/asbh-ftr.jpg
Best of Malaysia,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Malaysia,GROUP TOUR,9,"?125,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/askl/askl-thb-askl-142023.png
Honeymoon Special Bali,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Indonesia,GROUP TOUR,7,"?126,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/ashl/ashl-thb.jpg
Women's Special Bali,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Indonesia,GROUP TOUR,7,"?127,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aswi/aswi-thb.jpg
Senior's Special Singapore Malaysia,NA,Singapore,GROUP TOUR,7,"?135,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aszm/aszm-thb.jpg
Women's Special Dubai Abu Dhabi,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,UAE,GROUP TOUR,7,"?135,000.00",https://img.veenaworld.com/group-tours/world/dubai-egypt-israel/mewa/shdz1-thb-mewa-2782022.jpg
Best of Baku,Shirvanshah Palace Gobustan National Park See Mud volcanoes Ateshgah- Ancient Zoroastrian Temple Gala Archaeological and Ethnographic Museum The Palace of Shaki Khans Cable car ride to Tufandag Mountain Juma Mosque in Shamaki,Azerbaijan,GROUP TOUR,7,"?135,000.00",https://img.veenaworld.com/group-tours/world/europe/eubq/thb-baku-eubq-20102023.png
Best of Dubai Abu Dhabi,NA,UAE,GROUP TOUR,7,"?135,000.00",https://img.veenaworld.com/group-tours/world/dubai-egypt-israel/mema/thb-mema-172024.jpg
Best of Vietnam,NA,Vietnam,GROUP TOUR,8,"?136,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/asvm/asvm-thb-asvm-8112023.jpg
Singapore Malaysia,NA,Malaysia,GROUP TOUR,7,"?136,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/assm/assm-thb.jpg
Women's Special Vietnam,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Vietnam,GROUP TOUR,8,"?137,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aswvm/aswvm-thb-aswvm-14112023.png
Women's Special Singapore Malaysia,NA,Singapore,GROUP TOUR,7,"?137,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aswm/aswm-thb.jpg
Senior's Special Dubai Abu Dhabi,NA,UAE,GROUP TOUR,7,"?137,000.00",https://img.veenaworld.com/group-tours/world/dubai-egypt-israel/meza/meza-thb-meza-12112022.jpg
Senior's Special  Vietnam,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Vietnam,GROUP TOUR,8,"?138,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aszvm/aszvm-thb-aszvm-14112023.png
All of Thailand,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Thailand,GROUP TOUR,15,"?150,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/asat/thb-asat-asat-1372024.jpg
Chiang Mai Chiang Rai Phuket Krabi,Elephant Sanctuary & Safari Thrilling Bamboo Rafting View Snake Show Bai Orchid and Butterfly Park Golden Triangle White temple (Wat Rong Khun) River Rafting on the Mae Taeng River Bo Sang Village Stroll around Handicraft Highway Dolphin Show Ao Nang Beach & Walking Street Islands of Krabi Sunset Cruise Ao Phang Nga National Park James Bond Island Trickeye Museum Phuket Phi Phi Island Phuket Carnival/Phanta Sea Show,Thailand,GROUP TOUR,9,"?150,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/asmr/ashr-exp-1-ASMR-642024.jpg
Hong Kong Macao Shenzhen,NA,China,GROUP TOUR,7,"?155,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/ashs/ashs-exp-2-ashs-1872024.jpg
Women's Special Hong Kong Macao Shenzhen,NA,China,GROUP TOUR,7,"?159,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aswhs/aswhs-thb-ASWHS-3172023.jpg
Singapore Thailand Malaysia,NA,Malaysia,GROUP TOUR,10,"?160,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/asjw/asjw-thb.jpg
Singapore Bali,Universal Studios Gardens By The Bay Marina Bay Sands Sky Park Mandai Bird Paradise Sky Helix SEA Aquarium Tirta Empul Tegallalang Rice Terraces Tanah Lot Sea temple Nusa Pendia Devdan Show White Water River Rafting,Indonesia,GROUP TOUR,8,"?161,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/asbl/assb-ftr-ASBL-6122022.jpg
Seniors' Special Singapore Thailand Malaysia,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Singapore,GROUP TOUR,10,"?162,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aszj/aszj-thb-1.jpg
Women's Special Singapore Thailand Malaysia,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Singapore,GROUP TOUR,10,"?162,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aswy/aswy-thb-aswy-422023.jpg
Senior's Special  Vietnam Cambodia,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Vietnam,GROUP TOUR,10,"?175,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aszvo/asvm-thb-ASZVO-2232024.jpg
Vietnam Cambodia,NA,Cambodia,GROUP TOUR,10,"?176,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/asmv/asvc-thb-asmv-8112023.jpg
Highlights of Turkey,Whirling dervish show Valleys of Cappadocia Goreme open air museum Kaymakli underground city Mevlana Mausoleum Cotton Castle Pamukkale The ancient city of Hierapolis Topkapi Palace Sultan Ahmet Tsami - Blue Mosque Hagia Sofia Museum,Turkey,GROUP TOUR,7,"?180,000.00",https://img.veenaworld.com/group-tours/world/europe/euht/euht-thb-euht-132024.jpg
Vietnam Bali,Tirta Empul Tanah Lot Sea Temple Excursion to Nusa Penida White Water Rafting at Ayung River Balinese Massage Ho Chi Minh Complex One Pillar Pagoda Musical Water Puppet Show Halong Bay Overnight Cruise Sun World Ba Na Hills Cam Thanh Coconut Village Lantern Boat Ride Cu Chi Tunnels Vinh Trang Pagoda Mekong River Delta War Crime Museum,Vietnam,GROUP TOUR,12,"?185,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/asvi/asbm-exp-1-asvi-782024.jpg
Singapore Malaysia with Cruise,Putrajaya Genting Highlands Kuala Lumpur City Tour Sunway Lagoon Overnight Cruise Ride Gardens by the Bay Marina Bay Sands Sky Park Sentosa Island Universal Studios SEA Aquarium Singapore City Tour,Malaysia,GROUP TOUR,9,"?186,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/asmz/asmz-thb.jpg
Singapore Malaysia with Bali,Tirta Empul Tanah Lot Sea Temple Excursion to Nusa Penida Devdan Show White Water Rafting Putrajaya Kuala Lumpur City Tour Photo stop at Petronas Twin Towers Genting Highlands Gardens by the Bay Sentosa Island Universal Studios Singapore City Tour,Indonesia,GROUP TOUR,10,"?187,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/asmb/ASMB-thb.jpg
Dubai Abu Dhabi with Oman,Wadi Bani Khalid Dolphin Watching cruise Sultan Qaboos Grand Mosque Burj Khalifa - 124th Floor Desert Safari Dubai AYA Universe Dhow Dinner Cruise Miracle Garden/ Butterfly Garden Ski Dubai Warner Bros. Sheikh Zayed Grand Mosque Ferrari world Sea World,UAE,GROUP TOUR,9,"?190,000.00",https://img.veenaworld.com/group-tours/world/middle-east/meoa/meoa-thb-1-MEOA-1292024.jpg
Uzbekistan Kazakhstan Kyrgyzstan,Medeo Gorge Cable car ride to Shymbulak ski resort Top of Kok-Tobe hill Belly dance show Ala archa national park Chimgan Mountains Charwak Lake- Pearl of Tian Shan Mountains Afrasiab Museum of Samarkand Ulugh Beg’s observatory Shah – i – Zinda Complex Barak khan madrasah Lal bahadur shastri memorial,Kazakhstan,GROUP TOUR,9,"?190,000.00",https://img.veenaworld.com/group-tours/world/europe/eukk/eukk-thb-eukk-782023.png
Best of Egypt,NA,Egypt,GROUP TOUR,9,"?190,000.00",https://img.veenaworld.com/group-tours/world/europe/euyt/sheg1-thb-EUYT-2552022.jpg
Women's Special Egypt,The Catacombs The National Museum of Egyptian Civilization Cairo tower observatory deck The Great Pyramids of Giza The Great Temples of Abu Simbel Nile cruise Temple of Philae on Isis Island Valley of Kings Hurghada Dolphin watching cruise,Egypt,GROUP TOUR,9,"?195,000.00",https://img.veenaworld.com/group-tours/world/europe/euwy/euwy-thb-euwy-4112022.jpg
Philippines Manila Cebu,Intramuros National Museum of Philippines Binodo Manila Ocean Park Taoist Temple Complex Chocolate Hills Tarsier conservation area Loboc River Cruise Tour Moalboal Sardine Run Kawasan Falls,Philippines,GROUP TOUR,8,"?195,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aspi/asps-thb-ASPI-1042024.jpg
Best of Kenya,Nairobi National Museum Snake Park and botanical gardens Aberdares Thomson Falls Boat ride in Lake Naivasha Hell’s Gate Safari Game Drive at Masai Mara National reserve Scenic drive through the Great Rift Valley,Kenya,GROUP TOUR,7,"?205,000.00",https://img.veenaworld.com/group-tours/world/africa/afbk/thb-afbk-672023.jpg
European Panorama,The Spectacular Monument of Eiffel Tower Seine River Cruise Madurodam/Kuekenhof Tulip Gardens Holland’s famous ‘Windmill’ Explore Luxembourg city by a tram Cuckoo clock shop Rhine Falls Schaffhausen Rotair Titlis (cable car ride) to Mt. Titlis Lake Lucerne Cruise City Tram ride at Vaduz Swarovski crystal world and Museum,Western Europe,GROUP TOUR,8,"?205,000.00",https://img.veenaworld.com/group-tours/world/europe/eudr/eudr-thb-EUDR-1562023.jpg
Best of Turkey,Whirling dervish show Hot air balloon tour over Cappadocia Valleys of Cappadocia Goreme open air museum Mevlana Mausoleum Lower Duden Waterfalls Perge Excavations Cotton Castle Pamukkale UNESCO World Heritage site – Ephesus Topkapi Palace Sultan Ahmet Tsami - Blue Mosque Turkish dinner with show,Turkey,GROUP TOUR,10,"?220,000.00",https://img.veenaworld.com/group-tours/world/europe/euts/turkey-thb-euts-132024.png
Women's Special South Africa,Safari Game Drives at Pilanesberg National Park Tsitsikama National Park Cango Caves Congo Wildlife Ranch Cape St. Blaise lighthouse Stellenbosch Cable Car Ride to Table Mountain Boulders Beach Cape of Good Hope,South Africa,GROUP TOUR,9,"?220,000.00",https://img.veenaworld.com/group-tours/world/mauritius/afws/afws-thb-afws-922023.png
Best of Turkey,Whirling dervish show Hot air balloon tour over Cappadocia Valleys of Cappadocia Goreme open air museum Mevlana Mausoleum Lower Duden Waterfalls Perge Excavations Cotton Castle Pamukkale UNESCO World Heritage site – Ephesus Topkapi Palace Sultan Ahmet Tsami - Blue Mosque Turkish dinner with show,Turkey,GROUP TOUR,10,"?220,000.00",https://img.veenaworld.com/group-tours/world/europe/euts/turkey-thb-euts-132024.png
Senior's Special South Africa,Safari Game Drives at Pilanesberg National Park Tsitsikama National Park Cango Caves Congo Wildlife Ranch Cape St. Blaise lighthouse Stellenbosch Cable Car Ride to Table Mountain Boulders Beach Cape of Good Hope,South Africa,GROUP TOUR,9,"?220,000.00",https://img.veenaworld.com/group-tours/world/africa/afzs/afzs-thb-afzs-772023.jpg
Seniors' Special Best of Turkey,Whirling dervish show Hot air balloon tour over Cappadocia Valleys of Cappadocia Goreme open air museum Mevlana Mausoleum Lower Duden Waterfalls Perge Excavations Cotton Castle Pamukkale UNESCO World Heritage site – Ephesus Topkapi Palace Sultan Ahmet Tsami - Blue Mosque Turkish dinner with show,Turkey,GROUP TOUR,10,"?225,000.00",https://img.veenaworld.com/group-tours/world/europe/euzts/eutk-thb-euzts-2732024.jpg
All of Vietnam,Sapa Hanoi City Tour Halong Bay Overnight Cruise Da Nang Sun World Ba Na Hills Hoi An Ho Chi Minh City Tour Cu Chi Tunnels Boat Ride in Mekong River Delta Can Tho Phu Quoc Island Hopping Tour,Vietnam,GROUP TOUR,13,"?225,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/asav/vietnam-thb-ASAV-1332024.png
Highlights of Greece,Parthenon Acropolis Museum Nestoridio Art Gallery Helios 9D Palace of the Grand Master of the Knights of Rhodes Filerimos Hill Monastery of the Archangel Michael Kallithea springs Red Beach Black Beach Akrotiri archeological site Prophet Ilias monastery Megalochori village Oia Village,Greece,GROUP TOUR,8,"?225,000.00",https://img.veenaworld.com/group-tours/world/europe/eugg/eugj-hlt-2-EUGG-412023.jpg
Women's Special Best of Turkey,Whirling dervish show Hot air balloon tour over Cappadocia Valleys of Cappadocia Goreme open air museum Mevlana Mausoleum Lower Duden Waterfalls Perge Excavations Cotton Castle Pamukkale UNESCO World Heritage site – Ephesus Topkapi Palace Sultan Ahmet Tsami - Blue Mosque Turkish dinner with show,Turkey,GROUP TOUR,10,"?225,000.00",https://img.veenaworld.com/group-tours/world/europe/euwts/shtk4-thb-euwts-2732024.jpg
Best of Austria,Swarovski crystal world and Museum Nordketten cable car ride Innsbruck city tour Hallein Salt Mine Salzburg city tour Mirabell Gardens Funicular ride to Hohensalzburg Fortress Walking tour of Hallstatt Cable car ride to Five fingers viewing platform Boat ride on Hallstatt lake Melk Abbey Schonbrunn Palace Vienna city tour,Austria,GROUP TOUR,8,"?225,000.00",https://img.veenaworld.com/group-tours/world/europe/eubu/eubu-thb-eubu-1562023.jpg
Myanmar Laos,Shwedagon Pagoda Mount Popa Mandalay Palace Pha That Luang Stupa Patuxay Buddha Park,Laos,GROUP TOUR,10,"?225,000.00",https://img.veenaworld.com/group-tours/world/south-east-asia/aslm/aslm-tbh-aslm-4102024.jpg
Women's Special Japan,NA,Japan,GROUP TOUR,7,"?225,000.00",https://img.veenaworld.com/group-tours/world/japan-china-korea-taiwan/aswba/aswba-thb-aswba-162023.jpg
Best of Japan,NA,Japan,GROUP TOUR,7,"?225,000.00",https://img.veenaworld.com/group-tours/world/japan-china-korea-taiwan/asba/shjp5-thb-asba-162023.jpg
Best of Spain,Prado Museum The Royal Palace Santa Maria la Blanca Synagogue Sword factory Catedral de Sevilla Flamenco Show Salvador Dali sculptures Museo Casa Natal Oceanogràfic València Sagrada Familia Cathedral Monastery of Montserrat,Spain,GROUP TOUR,10,"?230,000.00",https://img.veenaworld.com/group-tours/world/europe/eujs/eujs-thb-eujs-1562023.jpg
Amsterdam Brussels Bruges,Brussels city tour Walking tour around Bruges town De Halve Maan Brewery Anne Frank House A’dam Lookout observation deck Heineken brewery Madurodam,Belgium,GROUP TOUR,7,"?240,000.00",https://img.veenaworld.com/group-tours/world/europe/eubr/eubr-thb-eubr-1562023.png
Vienna Prague Budapest Bratislava,Danube river cruise Bled Castle Budapest city tour Walk through the Lower Town in Zagreb Baroque Church of the Assumption Drive through Most SNP See Hradcany Castle Schonbrunn Palace,Central Europe,GROUP TOUR,8,"?245,000.00",https://img.veenaworld.com/group-tours/world/europe/euhi/euee-thb-EUHI-3102023.jpg
All of Turkey,Temple of Augustus and Rome The Ankara Castle Whirling dervish show Hot air balloon tour over Cappadocia Goreme open air museum Mevlana Mausoleum Lower Duden Waterfalls Perge Excavations Cotton Castle Pamukkale Bodrum Castle UNESCO World Heritage site - Ephesus Trojan Horse statue Topkapi Palace Sultan Ahmet Tsami - Blue Mosque Turkish dinner with show Princes' Islands Bosphorous strait,Turkey,GROUP TOUR,15,"?250,000.00",https://img.veenaworld.com/group-tours/world/europe/eutu/eutu-thb-EUTU-132024.jpg
Seniors' Special European Panorama,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Western Europe,GROUP TOUR,8,"?255,000.00",https://img.veenaworld.com/group-tours/world/europe/euzdr/euzdr-thb-euzdr-1982023.jpg
Women's Special Best of Greece,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Greece,GROUP TOUR,10,"?255,000.00",https://img.veenaworld.com/group-tours/world/europe/euwlg/eugt-thb-EUWLG-2332024.jpg
Women's Special Europe,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Western Europe,GROUP TOUR,8,"?255,000.00",https://img.veenaworld.com/group-tours/world/europe/euwdr/euwdr-thb-EUWDR-182023.jpg
Best of Italy,Vaporetto water bus ride to Venice Island Gondola ride in the canals of Venice Walk through Venice city Ferrari Museum San Marino city tour St. Peter's Basilica Trevi Fountain Photo Stop at the backdrop of Colosseum Drive through Naples Blue Grotto or White Grotto San Gimignano 1300 Museum Florence city tour Pisa city tour,Italy,GROUP TOUR,8,"?270,000.00",https://img.veenaworld.com/group-tours/world/europe/eubi/eubi-thb-eubi-1562023.jpg
Swiss Paris,Versailles palace Eiffel Tower Seine river cruise Disneyland Chaplin’s world Maison Cailler Chocolate factory Bern City tour Titlis Rotair Cable car to Mt. Titlis Lake Lucerne Cruise Jungfraujoch,Paris,GROUP TOUR,8,"?275,000.00",https://img.veenaworld.com/group-tours/world/europe/eups/eups-hlt-2-eups-1862022.jpg
Seniors' Special Europe,The Spectacular Monument of Eiffel Tower Seine River Cruise Amsterdam canal cruise Holland’s famous ‘Windmill’ Cuckoo clock shop Rhine Falls Schaffhausen Rotair Titlis (cable car ride) to Mt. Titlis Lake Lucerne Cruise City Tram ride at Vaduz Swarovski crystal world and Museum Gondola ride in the canals of Venice Leaning tower of Pisa Trevi Fountain,Western Europe,GROUP TOUR,10,"?275,000.00",https://img.veenaworld.com/group-tours/world/europe/euzd/euzd-thb-euzd-29122022.jpg
Seniors' Special Europe,The Spectacular Monument of Eiffel Tower Seine River Cruise Amsterdam canal cruise Holland’s famous ‘Windmill’ Cuckoo clock shop Rhine Falls Schaffhausen Rotair Titlis (cable car ride) to Mt. Titlis Lake Lucerne Cruise City Tram ride at Vaduz Swarovski crystal world and Museum Gondola ride in the canals of Venice Leaning tower of Pisa Trevi Fountain,Western Europe,GROUP TOUR,10,"?275,000.00",https://img.veenaworld.com/group-tours/world/europe/euzd/euzd-thb-euzd-29122022.jpg
Swiss Austria,Schonbrunn Palace Mirabell Gardens Swarovski crystal world and Museum Rhine Falls Titlis Rotair cable car to Mt. Titlis Lake Lucerne Cruise Jungfraujoch Bern city tour Maison Cailler chocolate factory Chaplin’s world,Austria,GROUP TOUR,8,"?280,000.00",https://img.veenaworld.com/group-tours/world/europe/euas/euas-thb.jpg
Best of Switzerland,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Switzerland,GROUP TOUR,7,"?285,000.00",https://img.veenaworld.com/group-tours/world/europe/eusw/eusw-thb.jpg
London Paris Swiss Italy,London Eye Tower of London Museum Madame Tussauds Wax Museum Eiffel Tower Seine river cruise Versailles palace Titlis Rotair cable car to Mt. Titlis Lake Lucerne Cruise Gondola ride in the canals of Venice Pisa city tour,Western Europe,GROUP TOUR,9,"?285,000.00",https://img.veenaworld.com/group-tours/world/europe/eull/thumb-eull-2-eull-1762022.jpg
Japan with Yuzawa and Hakone,Shinjuku Garden Yuzawa Snow Mountain Observation Deck of Tokyo Sky Tree Asakusa Temple Complex Shopping at Shibuya Crossing Team Lab Planets Yamanashi Maglev Exhibition Center Open Air Museum Hakone Kowakien Yunessun View the Mount Fuji from the Komagatake Ropeway Miyajima Shrine Hiroshima Peace Park Arashiyama Bamboo Groove Golden Pavilion Fushimi Inari Shrine Nara Deer Park,Japan,GROUP TOUR,9,"?285,000.00",https://img.veenaworld.com/group-tours/world/japan-china-korea-taiwan/asyj/asyj-thb-ASYJ-2072023.jpg
European Highlights,A lovely view of London city from the London Eye The Spectacular Monument of Eiffel Tower Seine river cruise Amsterdam canal cruise Holland’s famous ‘Windmill’ Cuckoo clock shop Rhine Falls Schaffhausen Rotair Titlis (cable car ride) to Mt. Titlis Lake Lucerne Cruise City Tram ride at Vaduz Swarovski crystal world and Museum Gondola ride in the canals of Venice San Marino city tour Trevi Fountain Leaning tower of Pisa,Western Europe,GROUP TOUR,12,"?285,000.00",https://img.veenaworld.com/group-tours/world/europe/euhn/euhn-thb-euhn-1662023.jpg
Women's Special Switzerland,Expert tour manager all throughout the tour. All meals included in tour price. Music fun and games everyday.,Switzerland,GROUP TOUR,7,"?290,000.00",https://img.veenaworld.com/group-tours/world/europe/euwt/eusz-thb-EUWT-17102024.jpg
Korea Taiwan,Fengjia Night Market Rainbow Village Cruise on Sun Moon Lake Wen Wu Temple Ropeway ride over Sun Moon Lake Taipei 101 Observatory Deck - 89th floor National Palace Museum Jeju Beach Bijarim Forest Seongsan Iculbong Sunrise Peak – UNESCO World Natural Heritage Gamcheon Culture Village Haedong Yonggungsa Temple Gyeongju National Museum Seokguram Grotto Haeundae Beach Boat Ride at Busan Coastline The Korean Demilitarized Zone (DMZ) Dorasan Peace Park Dora Observatory Third Infiltration Tunnel Myeongdong Market Seoul Tower Pass by Chengwadae Sarangchae Palace Gyeongbokgung Palace National Palace Museum National Folklore Museum COEX Aquarium,Taiwan,GROUP TOUR,11,"?290,000.00",https://img.veenaworld.com/group-tours/world/japan-china-korea-taiwan/askn/taiwan-askn-1042024.jpg
